student_id,age,gender,first_generation_college,international_student,residency_status,high_school_gpa,sat_score,act_score,advanced_courses_taken,extracurricular_activities,major,enrollment_status,semester_credits,admission_type,starting_semester,family_income,financial_aid_received,pell_grant_eligible (scholarship),student_loan_amount,has_campus_job,current_gpa,credits_completed,courses_failed,courses_withdrawn,attendance_rate,study_hours_per_week,library_visits_per_month,tutoring_sessions_attended,advisor_meetings,clubs_joined,living_arrangement,has_disability,distance_from_campus_miles,work_hours_per_week,dropped_out
STU_00000001,23,Male,No,No,In-state,2.88,1034,26,2,2,Health Sciences,Full-time,12,Transfer,Fall,$30k-$60k,Yes,No,239,Yes,3.63,23,0,0,73.6,21,0,0,3,0,On-campus,No,64,18,No
STU_00000002,20,Male,Yes,No,In-state,2.79,1162,20,3,2,Social Sciences,Full-time,18,Regular,Spring,$60k-$100k,No,Yes,24364,No,1.92,45,2,3,77.6,11,4,2,1,2,On-campus,No,0,2,Yes
STU_00000003,19,Female,No,No,In-state,3.44,1264,22,5,2,Arts & Sciences,Full-time,12,Regular,Fall,$60k-$100k,Yes,No,18313,Yes,2.13,96,0,0,69.9,28,2,2,1,0,On-campus,No,10,5,Yes
STU_00000004,17,Male,No,Yes,In-state,2.86,966,28,4,3,Engineering,Full-time,18,Regular,Fall,$30k-$60k,Yes,No,11918,Yes,3.22,3,0,1,83.8,24,1,0,0,1,Off-campus,No,24,27,No
STU_00000005,17,Male,Yes,Yes,Out-of-state,3.77,1174,25,8,1,Business,Full-time,15,Early Decision,Fall,$30k-$60k,Yes,No,6449,No,3.18,1,1,1,,7,7,5,1,0,On-campus,No,15,10,No
STU_00000006,22,Female,No,No,In-state,3.25,,23,4,4,Social Sciences,Full-time,15,Regular,Fall,<$30k,Yes,No,3866,No,3.63,21,0,0,,7,4,0,3,1,On-campus,No,10,18,No
STU_00000007,17,Female,No,No,In-state,3.19,1264,19,3,2,Business,Full-time,12,Regular,Spring,$30k-$60k,Yes,No,5406,Yes,3.08,52,0,0,,25,4,2,0,1,On-campus,No,15,1,No
STU_00000008,18,Female,No,No,In-state,3.09,1084,30,3,2,Education,Full-time,15,Regular,Spring,<$30k,No,No,9606,No,4,21,1,0,93.1,2,2,2,0,1,At home,No,34,3,No
STU_00000009,17,Male,No,No,In-state,3.2,1006,22,2,2,Education,Full-time,15,Regular,Fall,$100k+,Yes,Yes,21814,No,3.25,40,0,1,72.9,6,1,1,2,1,Commuter,No,7,10,No
STU_00000010,17,Male,No,No,In-state,2.92,1384,18,8,4,Business,Full-time,18,Regular,Fall,$60k-$100k,Yes,No,5442,No,2.32,26,0,1,76.4,8,4,2,0,3,At home,No,2,8,No
STU_00000011,24,Male,No,No,In-state,3.56,800,25,0,2,Business,Full-time,15,Regular,Fall,<$30k,Yes,Yes,7321,No,1.97,58,2,2,92.9,34,3,4,2,1,On-campus,No,9,1,Yes
STU_00000012,21,Female,Yes,No,Out-of-state,3.34,,31,2,2,Computer Science,Full-time,18,Early Decision,Fall,$100k+,Yes,No,2145,No,1.89,36,2,0,,10,4,2,2,3,Off-campus,No,4,25,Yes
STU_00000013,21,Non-binary,No,No,International,3.28,1133,24,3,3,Health Sciences,Part-time,6,Regular,Fall,$60k-$100k,No,No,73,No,2.89,19,0,0,47.8,0,5,3,0,1,Commuter,No,7,3,No
STU_00000014,17,Female,No,No,In-state,3.35,924,30,2,2,Engineering,Part-time,3,Transfer,Fall,$60k-$100k,Yes,Yes,12611,No,2.78,32,0,0,61.4,12,1,1,3,1,Commuter,No,4,7,Yes
STU_00000015,20,Male,No,No,In-state,2.82,,27,5,6,Arts & Sciences,Full-time,15,Regular,Fall,$100k+,Yes,No,14811,No,2.37,60,0,0,88,0,7,0,2,1,Off-campus,No,3,36,Yes
STU_00000016,18,Male,No,No,In-state,2.43,1217,18,3,3,Education,Full-time,12,Regular,Fall,$30k-$60k,Yes,No,1520,No,2.71,43,1,0,87.3,8,4,2,0,0,Commuter,No,15,17,No
STU_00000017,17,Female,Yes,No,Out-of-state,3.38,1267,23,3,2,Health Sciences,Full-time,15,Regular,Fall,<$30k,Yes,No,12049,No,3.57,12,1,0,83.4,14,6,1,0,1,On-campus,Yes,4,14,No
STU_00000018,17,Male,No,No,In-state,4,1370,25,1,5,Computer Science,Full-time,18,Regular,Fall,<$30k,Yes,No,16312,Yes,2.03,44,1,0,80.8,5,5,2,0,2,At home,No,5,12,No
STU_00000019,22,Female,No,Yes,In-state,2.73,1159,23,3,0,Engineering,Part-time,3,Regular,Spring,$30k-$60k,Yes,No,3038,No,3.66,23,1,0,81.5,23,3,1,0,1,At home,No,21,5,No
STU_00000020,22,Male,No,No,In-state,3.65,1362,19,1,2,Computer Science,Part-time,9,Regular,Fall,<$30k,No,No,2749,No,2.09,120,0,2,76.9,25,4,0,2,1,At home,No,5,19,No
STU_00000021,17,Male,Yes,No,In-state,4,1381,19,3,3,Arts & Sciences,Full-time,12,Regular,Fall,$100k+,Yes,Yes,11762,Yes,1.98,86,0,1,80.8,2,1,0,3,0,Commuter,No,2,1,Yes
STU_00000022,17,Female,Yes,No,In-state,3.68,1307,24,5,2,Arts & Sciences,Full-time,12,Early Decision,Fall,$100k+,No,Yes,15069,No,2.98,5,0,1,98.1,1,3,1,3,5,Off-campus,No,63,4,Yes
STU_00000023,17,Male,No,No,In-state,3.29,1413,19,3,2,Business,Full-time,12,Regular,Spring,$60k-$100k,Yes,Yes,4544,No,2.89,22,3,0,88.2,28,1,5,1,2,On-campus,No,0,12,No
STU_00000024,20,Female,Yes,No,Out-of-state,3.57,1194,18,2,3,Education,Full-time,15,Regular,Spring,$30k-$60k,No,No,21360,No,4,42,1,0,69,18,5,5,5,1,Commuter,No,4,20,No
STU_00000025,17,Female,No,No,In-state,3.25,1216,22,2,3,Arts & Sciences,Full-time,18,Regular,Fall,$60k-$100k,No,No,33405,No,0.98,28,0,0,98.3,1,6,0,2,3,On-campus,No,5,15,Yes
